date,season,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,qbelo1_pre,qbelo2_pre,qb1_value_pre,qb2_value_pre,qb1_adj,qb2_adj,score1,score2
2009-11-22,2009,CHI,PHI,1467.663,1578.672,0.4341720693473872,0.5658279306526128,1454.39799358,1572.21202497,126.15649935603,162.16407727509,1.46883109684,-4.30756964913,20,24
2009-11-22,2009,JAX,BUF,1460.173,1409.88,0.6600865323668054,0.33991346763319463,1466.0258197,1413.33675563,125.488770825,42.11205121266,1.99742031596,-37.7812270655,18,15
2009-11-22,2009,GB,SF,1507.987,1443.018,0.6787780120044942,0.32122198799550583,1521.34823464,1453.34122626,160.41673044705001,31.724119777844997,8.14293188227,-51.9193412208,30,24
2009-11-22,2009,DEN,SD,1506.51,1586.037,0.479106140941499,0.520893859058501,1503.34155487,1577.81151629,72.22948481595,174.94470070044,-58.4846637288,12.456506335,3,32
2009-11-22,2009,STL,ARI,1290.695,1595.304,0.20112140154136993,0.7988785984586301,1319.2600376,1580.99213179,50.04677468538,201.6736819449,3.13127535177,9.66642975112,13,21
2009-11-22,2009,BAL,IND,1607.72,1712.649,0.44278920335714,0.55721079664286,1574.17347722,1682.18115801,105.02903779203,248.30145235236,4.27845681488,21.7057651217,15,17
2009-11-23,2009,HOU,TEN,1537.36,1532.304,0.5994741998602398,0.40052580013976025,1527.70728098,1515.75345341,184.5792686298,109.9075025499,21.4968774323,7.9855860461,17,20
2009-11-26,2009,DAL,OAK,1589.853,1352.96,0.8504119636407677,0.14958803635923237,1583.15310601,1357.72453461,139.54660773306,46.73101294224,2.85597228481,-15.3051630468,24,7
2009-11-26,2009,DEN,NYG,1474.134,1570.221,0.45538121811455246,0.5446187818854475,1477.65351684,1555.64487213,122.60640148416,131.61593857137,11.1151052159,13.757829771,26,6
2009-11-26,2009,DET,GB,1266.289,1519.791,0.2525412084884086,0.7474587915115913,1283.39981053,1531.16061251,96.01859106477,175.45748778228,11.7935769975,15.0124691572,12,34
2009-11-29,2009,BAL,PIT,1598.165,1631.194,0.5458805401499943,0.4541194598500057,1565.59980433,1606.35060026,108.65459520894,42.62148,6.06184007528,-77.3862254617,20,17
2009-11-29,2009,NYJ,CAR,1483.836,1493.706,0.5786792155791642,0.42132078442083576,1475.56027764,1486.05216455,51.750946989389995,64.05045131496,-24.497789017,-10.1783249035,17,6
2009-11-29,2009,HOU,IND,1520.192,1722.204,0.3124469120903115,0.6875530879096885,1509.06289433,1690.7548309,182.60116265424,242.69679774845997,19.2298788898,17.8181460583,27,35
2009-11-29,2009,BUF,MIA,1400.925,1534.206,0.4029815996427876,0.5970184003572123,1405.25262574,1519.50036856,43.650547204439995,83.55518749347,-34.4224577106,-22.4641776873,31,14
2009-11-29,2009,TEN,ARI,1549.472,1603.274,0.5161096395696771,0.48389036043032285,1534.39784007,1590.31732937,119.03952997827,81.70925613576,12.518333403,-120.20967685,20,17
2009-11-29,2009,STL,SEA,1282.725,1404.092,0.4195856581560563,0.5804143418439436,1309.93484002,1419.95966802,57.24245218098,81.40667267535,10.5388966369,-3.29634851445,17,27
2009-11-29,2009,SF,JAX,1431.214,1469.128,0.5389011092063972,0.4610988907936028,1443.52884839,1474.10994958,38.55427536114,127.82467618536,-44.7843009243,2.95171695665,20,3
2009-11-29,2009,ATL,TB,1534.887,1376.161,0.7837865109967982,0.2162134890032018,1528.10284098,1364.84854995,111.89360411262,88.78909875165,-1.90575000269,20.400227892,20,17
2009-11-29,2009,CIN,CLE,1554.472,1316.549,0.8511646542542209,0.14883534574577906,1551.25900672,1319.33118509,139.18205796264,58.89702142929,13.9732161103,19.7743877337,16,7
2009-11-29,2009,MIN,CHI,1638.002,1453.974,0.8074492425164084,0.19255075748359163,1643.34229955,1441.17367052,176.04521243495998,122.14988109588,37.3706345142,-0.978596390745,36,10
2009-11-29,2009,PHI,WAS,1592.361,1422.987,0.7939931145256078,0.20600688547439217,1585.43634802,1429.12277383,160.11831701415,96.68190760668,-5.11985195168,-5.99757492657,27,24
2009-11-29,2009,SD,KC,1618.414,1371.165,0.8578382089872653,0.14216179101273474,1603.49955432,1375.4351983,175.83504925139997,67.77736265751,11.9846442242,7.48913097947,43,14
2009-11-30,2009,NO,NE,1706.585,1659.905,0.6554045950999229,0.3445954049000771,1697.36535162,1660.06353218,223.11496184900997,243.57159897179997,5.4399924891,25.927482509,38,17
2009-12-03,2009,BUF,NYJ,1436.542,1504.263,0.49608424628350595,0.503915753716494,1439.86984226,1497.80669753,53.80425612672,51.97336677885,-26.9940663586,-23.1616896714,13,19
