total_result,temp,wind,total_line,away_rest,home_rest,avg_away_total_yards,avg_home_total_yards,avg_away_total_yards_against,avg_home_total_yards_against,away_total_offense_rank,home_total_offense_rank,away_total_defense_rank,home_total_defense_rank,elo1_pre,elo2_pre,elo_prob1,elo_prob2,qbelo1_pre,qbelo2_pre,qb1_value_pre,qb2_value_pre,qb1_adj,qb2_adj,total_team_elo,total_qb_elo,team_elo_diff,qb_elo_diff
Under,72,0,38.0,7,7,303.0,291.0,263.6666666666667,273.3333333333333,14,11,3,7,1370.366,1439.274,0.4943761730846153,0.5056238269153848,1392.4912916,1455.37797132,87.00513776855999,67.74665489988,9.45005469085,5.92798098501,2847.86926292,15.378035675859998,62.88667971999985,3.52207370584
Over,61,16,36.0,14,7,290.5,290.0,246.0,346.5,9,8,1,21,1405.054,1609.457,0.3094978001676307,0.6905021998323693,1403.16756069,1596.31012733,59.11305725985,96.75610006689,-2.51790777773,-46.7899147468,2999.47768802,-49.30782252453,193.1425666399998,44.27200696907
Under,87,6,42.0,7,14,263.6666666666667,351.0,303.0,267.5,4,21,15,4,1422.155,1513.189,0.4626040262503056,0.5373959737496945,1442.58205229,1488.44640544,59.09039878896,79.28187373425,6.61928387517,-12.0479086705,2931.02845773,-5.42862479533,45.86435314999994,18.66719254567
Over,36,8,43.0,7,7,246.0,423.3333333333333,290.5,294.6666666666667,2,26,8,11,1584.704,1516.467,0.6828659080754255,0.3171340919245745,1598.98497528,1499.83290923,59.62103690499,101.00319621711,-60.9408397186,6.69614212689,3098.81788451,-54.24469759171,99.15206605000004,67.63698184549
Over,76,5,40.5,7,7,334.3333333333333,294.6666666666667,269.6666666666667,423.3333333333333,20,12,6,27,1537.487,1346.817,0.8133239645454308,0.1866760354545692,1540.01893807,1391.6719537,113.31870326898,102.95552375526,6.86700825284,19.9752228051,2931.69089177,26.84223105794,148.3469843700002,13.10821455226
Under,72,9,36.0,7,7,273.3333333333333,241.0,291.0,299.0,6,1,10,12,1428.115,1487.586,0.5079561989950505,0.4920438010049495,1404.09521017,1484.01626216,-33.10974717633,39.38516424777,-31.0764074359,-11.789761809,2888.11147233,-42.8661692449,79.92105199000002,19.2866456269
Over,82,9,36.0,7,7,332.6666666666667,326.6666666666667,340.6666666666667,249.33333333333331,19,17,19,2,1632.784,1609.439,0.6244676013653312,0.3755323986346688,1649.43122527,1574.43220724,79.57603489835999,155.23165185462,12.9204518725,7.92518676862,3223.86343251,20.84563864112,74.99901802999989,4.99526510388
Under,64,9,42.0,6,7,364.3333333333333,401.6666666666667,291.0,301.6666666666667,22,25,10,14,1526.148,1499.783,0.6285355019781212,0.3714644980218787,1539.42925869,1562.45970558,105.70939436475,100.89135619265998,8.36989527574,2.33976036134,3101.88896427,10.70965563708,23.030446889999894,6.0301349144
Over,72,0,45.0,8,15,370.6666666666667,435.0,325.3333333333333,301.0,23,27,16,13,1552.155,1604.718,0.5178906407507066,0.4821093592492934,1575.74589861,1619.72805613,164.94617621889,91.60562562492,19.4176086104,0.961144173102,3195.47395474,20.378752783502,43.98215751999987,18.456464437298
Under,70,10,44.0,6,14,467.6666666666667,340.6666666666667,355.7777777777778,332.6666666666667,27,18,22,20,1581.618,1584.765,0.5880850027865129,0.4119149972134871,1546.49475443,1603.9489825,95.18000239737,193.5521800773,0.424309261797,31.8735256953,3150.4437369300003,32.297834957097,57.45422807,31.449216433503
Under,71,14,47.5,7,14,299.75,352.3333333333333,395.5,286.3333333333333,10,20,25,8,1470.849,1434.713,0.6415701610885214,0.3584298389114786,1479.68162688,1435.53911976,136.63906268495998,75.02972966016,8.43395526483,-26.0622785625,2915.22074664,-17.62832329767,44.14250712000012,34.49623382733
Under,70,8,37.0,7,7,347.0,312.0,257.875,294.0,19,13,1,9,1335.794,1529.326,0.3230282708181472,0.6769717291818528,1376.91020494,1544.37105369,88.95521513802,79.16466648189,12.3827784587,8.54810034974,2921.28125863,20.93087880844,167.46084874999997,3.83467810896
Over,72,0,42.5,14,7,395.6666666666667,258.75,308.6666666666667,328.25,25,2,13,18,1492.657,1635.488,0.389828955611742,0.610171044388258,1489.98167881,1567.32185045,46.93025379372,116.71941969732,18.0450800921,1.84258973422,3057.30352926,19.88766982632,77.34017164000011,16.202490357880002
Under,76,14,38.5,7,6,318.3333333333333,359.5,319.3333333333333,459.5,15,21,16,27,1572.107,1396.985,0.7993526534001455,0.2006473465998545,1591.52497223,1394.92626482,84.17865261366,42.41249993507999,-2.82510961903,-28.3815988557,2986.45123705,-31.20670847473,196.5987074100001,25.55648923667
Over,72,0,53.5,7,7,264.3333333333333,487.0,283.55555555555554,297.75,5,28,6,11,1669.26,1405.737,0.8688843650412273,0.1311156349587726,1658.56348026,1385.08919799,188.11893881616,67.51846501026,26.4190559842,69.5087016847,3043.65267825,95.9277576689,273.47428227,43.0896457005
Over,72,5,38.0,7,7,377.0,319.3333333333333,373.0,318.3333333333333,23,16,23,15,1617.527,1494.699,0.7467257109131886,0.2532742890868114,1604.5514232,1512.2111401,114.11856927999,92.73720318984,4.33387394317,1.86005765524,3116.7625633,6.193931598410001,92.34028310000008,2.47381628793
Over,76,6,33.0,7,7,264.25,241.33333333333331,285.75,351.88888888888886,4,1,7,21,1314.838,1556.936,0.2651329817992083,0.7348670182007917,1330.99138064,1547.53312496,4.382315327808,26.299580287464,-28.3676295447,-13.3640410581,2878.5245056,-41.7316706028,216.5417443199999,15.003588486600002
Over,80,6,41.0,7,7,285.75,405.75,264.25,259.25,7,26,5,4,1574.627,1450.415,0.7482295067281144,0.2517704932718856,1589.63100066,1434.30859323,125.16387967314,32.50212149448,18.2930632596,-8.02360746221,3023.93959389,10.26945579739,155.32240742999988,26.31667072181
Over,72,12,41.0,7,7,328.25,313.75,258.75,317.5,17,14,3,14,1543.326,1376.073,0.7919888680572906,0.2080111319427093,1528.3944712,1406.21066378,92.85030488349,93.36430958217,-4.66481028434,9.10256943794,2934.60513498,4.4377591536,122.18380742,13.76737972228
