"game_type","weekday","location","total_line","away_rest","home_rest","div_game","roof","surface","temp","wind","total_team_elo","total_qb_elo","home_total_offense_rank","home_total_defense_rank","away_total_defense_rank","away_total_offense_rank","off_def_diff"
"REG","Monday","Home",45.5,8,8,0,"outdoors","fieldturf",31,3,3182.51720475,67.22716955992,5,1,9,17,12
"REG","Thursday","Home",41,4,4,1,"outdoors","grass",62,8,2851.83940195,5.22627335673,18,26,8,30,14
"WC","Saturday","Home",38,6,6,0,"closed","grass",72,0,3076.68287303,-91.32252187761,6,4,5,8,5
"REG","Sunday","Home",40,7,6,1,"outdoors","grass",38,7,3061.05462006,-119.28654730724,13,29,18,10,-24
"REG","Sunday","Home",41,14,7,0,"outdoors","grass",57,9,3033.20870892,59.38442064288,24,15,20,8,-3
"REG","Sunday","Home",39.5,7,7,1,"dome","sportturf",72,0,3184.89234948,31.27468997012,19,9,20,23,13
"REG","Sunday","Home",37.5,7,7,1,"outdoors","grass",58,15,2867.6817697,7.94635949197,27,27,22,21,-1
"REG","Thursday","Home",40.5,4,4,1,"dome","astroplay",72,0,3106.90183697,-25.68840727595,25,22,7,24,20
"REG","Monday","Home",39,11,8,0,"outdoors","grass",73,5,2862.55300249,-5.0597267214,27,15,21,20,11
"REG","Sunday","Home",46,7,7,1,"dome","fieldturf",72,0,3185.98132384,19.507384945393,17,31,17,9,-22
"REG","Sunday","Home",51.5,7,7,1,"closed","fieldturf",72,0,2923.71005060072,-18.2098622986075,8,15,17,4,-20
"REG","Thursday","Home",40,4,4,0,"outdoors","grass",75,8,3068.59653091,3.71375267934,17,6,18,25,18
"REG","Sunday","Home",36,7,7,1,"outdoors","grass",74,0,2643.03573804,-53.13179360754,28,4,28,24,20
"REG","Sunday","Home",43,7,7,1,"outdoors","grass",68,7,2923.86965743,93.3995234474,18,26,5,2,-11
"REG","Sunday","Home",39.5,7,14,0,"outdoors","fieldturf",49,16,2941.50318217,16.73659269514,17,6,26,16,1
"REG","Sunday","Home",37.5,7,7,0,"dome","sportturf",72,0,3062.26388653,-89.6112311956,11,15,7,27,16
"REG","Sunday","Home",36.5,7,7,0,"outdoors","grass",85,6,3083.64996816,15.23402002233,21,6,1,9,23
"REG","Sunday","Home",41,7,7,0,"outdoors","fieldturf",19,22,3081.18052172,4.20849114883,12,24,6,25,7
"REG","Sunday","Home",48,7,7,0,"outdoors","fieldturf",70,7,3277.62837824,22.48840632518,14,10,9,17,12
"REG","Sunday","Home",39,6,7,0,"outdoors","grass",57,0,2821.69031042,-64.8377421228,27,1,7,15,34
"REG","Sunday","Home",43,7,7,0,"outdoors","grass",71,2,3088.77654877,-2.78774732043,22,13,22,12,-1
"REG","Sunday","Neutral",42,7,7,1,"outdoors","grass",59,5,2968.77819286,17.57057049169,13,22,2,21,10
"REG","Sunday","Home",46.5,7,7,0,"outdoors","grass",72,11,3234.22992497,19.61072166597,32,32,32,32,0
"REG","Sunday","Home",42,7,7,0,"outdoors","fieldturf",56,11,3038.1670168,45.8718764452,12,6,19,11,-2
"REG","Sunday","Home",41.5,7,7,1,"dome","sportturf",72,0,2969.16154760091,12.6286384967959,18,31,20,29,-4
"REG","Sunday","Home",36.5,7,14,0,"outdoors","astroturf",44,12,2842.1871242,22.9998669611,29,3,24,21,23
"REG","Sunday","Home",49.5,7,7,0,"outdoors","grass",18,5,3129.29481277,36.6047421697,1,14,12,22,-3
"REG","Sunday","Home",40,7,7,1,"outdoors","grass",77,6,2956.04405304,-18.95952672112,9,19,17,16,-11
"REG","Sunday","Home",43,7,14,0,"open","grass",72,0,2935.29194491,-37.0320780673,27,21,16,4,-6
"REG","Sunday","Home",45.5,7,7,0,"dome","fieldturf",72,0,2990.48341616,-159.499037387,25,6,22,3,0
"REG","Sunday","Home",45,7,7,0,"outdoors","grass",45,4,3029.83070312,17.72355044968,16,5,1,2,12
"REG","Sunday","Home",49,7,7,0,"outdoors","grass",69,7,3126.84614491,7.66517708938,1,13,16,8,-20
"REG","Sunday","Home",39,7,7,0,"outdoors","grass",73,9,3021.98731118,25.00345285695,26,4,7,1,16
"REG","Sunday","Home",44,7,7,0,"outdoors","fieldturf",74,3,2937.10134795767,16.2343175546257,32,32,32,32,0
"REG","Sunday","Home",41,7,8,1,"outdoors","grass",48,2,3085.69198499,6.3632308184,16,25,8,14,-3
"REG","Sunday","Home",48,7,7,1,"outdoors","fieldturf",45,5,3014.13946964,-1.4919268869,13,17,7,7,-4
"REG","Monday","Home",36,8,8,1,"outdoors","grass",51,5,3125.24102685,-3.190226205101,11,11,25,18,-7
"REG","Sunday","Home",33.5,7,7,0,"outdoors","grass",83,10,3080.7914243,24.75039602485,30,30,30,30,0
"DIV","Saturday","Home",48,6,13,1,"outdoors","grass",40,6,3103.15163405261,82.5046286745523,3,1,8,8,2
"WC","Saturday","Home",37.5,6,6,0,"closed","fieldturf",72,0,3079.00809027,-103.98846855807,8,5,2,3,4
"REG","Sunday","Home",44,7,7,0,"outdoors","grass",76,2,2904.80977506566,20.8299184076019,10,22,19,22,-9
"REG","Sunday","Home",37.5,7,7,0,"outdoors","grass",55,20,2753.75734271,-25.51904126043,20,10,26,26,10
"REG","Sunday","Home",48.5,7,7,1,"outdoors","grass",32,7,3171.94654971755,40.3561805091202,24,7,27,3,-7
"REG","Sunday","Home",47,7,14,0,"dome","fieldturf",72,0,3256.02728196,31.3903760087,1,9,1,2,-7
"REG","Sunday","Home",48.5,7,7,0,"outdoors","grass",64,16,3105.01679108242,6.74579080039785,12,28,11,20,-7
"REG","Sunday","Home",37.5,7,7,1,"outdoors","grass",49,0,3009.29967407,-11.36493771958,19,3,27,6,-5
"REG","Sunday","Home",45,7,6,1,"outdoors","grass",52,10,2922.24739752,8.968835426642,6,8,28,23,-7
"REG","Sunday","Home",44,6,7,0,"outdoors","fieldturf",59,14,3022.65536778,13.27757668312,7,4,17,10,-4
