"total_result","total_line","roof","surface","temp","wind","div_game"
"Over",41,"outdoors","fieldturf",50,10,0
"Over",45,"outdoors","grass",68,14,1
"Over",43.5,"outdoors","fieldturf",50,0,1
"Under",35,"outdoors","grass",52,6,1
"Over",33,"outdoors","grass",54,5,1
"Over",39,"outdoors","astroturf",55,14,0
"Over",43,"outdoors","grass",60,6,1
"Under",39.5,"outdoors","grass",66,4,1
"Over",37,"outdoors","astroturf",70,5,1
"Over",39.5,"outdoors","grass",59,16,0
"Under",37.5,"outdoors","grass",81,14,1
"Over",47.5,"dome","astroturf",72,0,0
"Over",45,"outdoors","grass",65,7,1
"Under",36,"outdoors","grass",57,0,1
"Over",39.5,"outdoors","grass",79,0,0
"Under",43,"outdoors","grass",44,11,0
"Over",35,"outdoors","grass",80,10,1
"Under",46.5,"outdoors","grass",49,15,0
"Under",44,"dome","astroturf",72,0,0
"Over",47,"dome","astroturf",72,0,1
"Over",40.5,"outdoors","astroturf",72,0,0
"Over",36,"outdoors","astroturf",58,18,1
"Under",40,"outdoors","grass",73,12,1
"Under",35.5,"outdoors","grass",55,15,1
"Over",52.5,"dome","astroturf",72,0,0
"Over",34,"outdoors","grass",79,7,1
"Under",41,"outdoors","grass",49,5,1
"Under",37.5,"outdoors","fieldturf",69,20,1
"Over",34.5,"outdoors","grass",63,6,1
"Over",42,"outdoors","grass",62,20,0
"Under",44,"outdoors","grass",63,9,0
"Under",39,"outdoors","grass",64,14,0
"Under",45,"dome","astroturf",72,0,1
