total_line,temp,wind,total_qb_elo,team_elo_diff,qb_elo_diff,avg_home_total_yards,avg_away_total_yards,avg_home_total_yards_against,avg_away_total_yards_against,div_game,roof_closed,roof_dome,roof_open,roof_outdoors,surface_astroplay,surface_astroturf,surface_dessograss,surface_fieldturf,surface_grass,surface_matrixturf,surface_sportturf,total_result
50.0,76,7,32.71507446928,56.8023445700001,40.71004480132,329.333333333333,405.0,335.0,341.714285714286,1,0,0,0,1,0,0,0,0,1,0,0,Under
43.0,73,2,15.0991269326,278.56639041,50.404695352,260.5,413.285714285714,317.5,292.142857142857,0,0,0,0,1,0,0,0,0,1,0,0,Over
41.5,70,10,-26.1800964079,68.6029223599999,56.4556904449,298.333333333333,318.666666666667,329.222222222222,344.25,1,0,0,0,1,0,1,0,0,0,0,0,Over
56.0,64,14,47.3528219433,164.22564158,15.0335383005,305.8,519.333333333333,345.0,279.611111111111,0,0,0,0,1,0,0,0,0,1,0,0,Over
44.5,72,0,35.9990290229,92.30507805,14.7686620845,394.833333333333,376.8,324.666666666667,306.36,0,0,1,0,0,0,1,0,0,0,0,0,Over
41.0,59,10,30.19514440682,147.36991872,21.83096746938,342.714285714286,325.142857142857,318.885714285714,395.0,0,0,0,0,1,0,1,0,0,0,0,0,Under
44.0,70,31,49.1835047472,147.99688381,2.2770781126,342.5,290.428571428571,304.125,429.542857142857,1,0,0,0,1,0,0,0,0,1,0,0,Under
37.5,75,0,-75.58707188831,169.52966756,56.73752259329,317.5,292.142857142857,260.5,413.285714285714,1,0,0,0,1,0,1,0,0,0,0,0,Under
36.0,79,15,-11.76318856467,116.56191429,23.49150196273,340.428571428571,363.857142857143,373.171428571429,311.571428571429,0,0,0,0,1,0,0,0,0,1,0,0,Over
35.0,51,3,-15.30550568609,2.11135001999992,9.88013325971,302.333333333333,274.2,297.777777777778,266.866666666667,1,0,0,0,1,0,0,0,0,1,0,0,Over
45.5,72,0,-10.349228568832,70.3180400699998,9.660893478968,284.0,340.428571428571,343.75,409.285714285714,1,0,1,0,0,0,1,0,0,0,0,0,Under
33.0,53,15,-3.90622000611,33.4690010099998,12.96273940927,323.0,309.714285714286,351.270833333333,266.408163265306,1,0,0,0,1,0,0,0,0,1,0,0,Under
41.0,46,6,29.27048492961,73.6327981200002,32.47070881059,383.0,324.428571428571,387.027777777778,299.028571428571,1,0,0,0,1,0,1,0,0,0,0,0,Over
35.5,50,5,-88.3492300648,20.02006388,51.5823868114,269.625,286.285714285714,310.6875,426.673469387755,1,0,0,0,1,0,0,0,0,1,0,0,Under
47.0,72,0,38.1240542687,87.19450407,12.5957497023,426.714285714286,284.285714285714,310.448979591837,303.428571428571,0,0,1,0,0,0,1,0,0,0,0,0,Over
38.5,81,13,2.40568098459,67.9651856400001,5.56546925515,303.166666666667,341.714285714286,328.111111111111,405.0,0,0,0,0,1,0,0,0,0,1,0,0,Over
41.0,82,7,21.53427727284,70.26273094,12.08864395136,303.428571428571,388.142857142857,284.285714285714,382.114285714286,1,0,0,0,1,0,0,0,0,1,0,0,Over
